source,traduction
Loan,Prêt
Loans,Prêts
Interest,Intérêt
Tax Rate,Taux de taxe
Status,Statut
Priority,Priorité
Type,Type
Category,Catégorie
Group By,Grouper par
Active,Actif
Inactive,Inactif
Enabled,Activé
Disabled,Désactivé
Draft,Brouillon
Submitted,Soumis
Cancelled,Annulé
Approved,Approuvé
Rejected,Rejeté
Pending,En attente
Completed,Terminé
In Progress,En cours
Open,Ouvert
Closed,Fermé
Paid,Payé
Unpaid,Impayé
Overdue,En retard
Created,Créé
Modified,Modifié
Created By,Créé par
Modified By,Modifié par
Owner,Propriétaire
Assigned To,Assigné à
Comments,Commentaires
History,Historique
Activity Log,Journal d'activité
Show,Afficher
Hide,Masquer
Show More,Afficher plus
Show Less,Afficher moins
View,Voir
Preview,Aperçu
Detail,Détail
Details,Détails
Summary,Résumé
Overview,Aperçu général
General,Général
Advanced,Avancé
Options,Options
Configuration,Configuration
Setup,Configuration
Module,Module
Modules,Modules
App,Application
Application,Application
Feature,Fonctionnalité
Features,Fonctionnalités
Plugin,Extension
Add Row,Ajouter une ligne
Remove Row,Supprimer la ligne
Insert,Insérer
Move Up,Monter
Move Down,Descendre
Sort Ascending,Trier par ordre croissant
Sort Descending,Trier par ordre décroissant
Required,Obligatoire
Optional,Facultatif
Read Only,Lecture seule
Hidden,Caché
Visible,Visible
Today,Aujourd'hui
Yesterday,Hier
Tomorrow,Demain
This Week,Cette semaine
Last Week,La semaine dernière
This Month,Ce mois-ci
Last Month,Le mois dernier
This Year,Cette année
Last Year,L'année dernière
Day,Jour
Week,Semaine
Month,Mois
Year,Année
Days,Jours
Weeks,Semaines
Months,Mois
Years,Années
Hour,Heure
Minute,Minute
Second,Seconde
Hours,Heures
Minutes,Minutes
Seconds,Secondes
Welcome,Bienvenue
Hello,Bonjour
Thank you,Merci
Please,S'il vous plaît
Notification,Notification
Notifications,Notifications
Alert,Alerte
Alerts,Alertes
Reminder,Rappel
Reminders,Rappels
