source,traduction
Bulk Operation Failed,Opération en masse échouée
Bulk Operation Successful,Opération en masse réussie
Bulk PDF Export,Export PDF en masse
Bulk Rename Jobs,Travaux de renommage en masse
Bulk Repayment Log,Journal de remboursement en masse
Bulk Transaction,Transaction en masse
Bulk Transaction Log,Journal de transaction en masse
Bulk Transaction Log Detail,Détail du journal de transaction en masse
Bundle Items,Articles groupés
Button Color,Couleur du bouton
Buyer of Goods and Services.,Acheteur de biens et services.
Buying & Selling Settings,Paramètres d'achat et de vente
"By ""Naming Series"" field","Par champ ""Série de nommage"""
By fieldname,Par nom de champ
By script,Par script
COGS By Item Group,CMV par groupe d'articles
COGS Debit,Débit CMV
COLOR PICKER,SÉLECTEUR DE COULEUR
CRM Note,Note CRM
Cache,Cache
Calculate Ageing With,Calculer l'antériorité avec
Calculated Amount,Montant calculé
Calculated Discount Mismatch,Incohérence de remise calculée
Call Handling Schedule,Planification de gestion d'appels
Call Receiving Device,Appareil de réception d'appels
Call Routing,Routage d'appels
Call Summary Saved,Résumé d'appel enregistré
Callback,Rappel
Campaign Item,Article de campagne
Campaign {0} not found,Campagne {0} introuvable
Canal,Canal
Cancel future EMI Demands,Annuler les demandes d'échéances futures
Cancellation Date,Date d'annulation
Cannot Assign Cashier,Impossible d'assigner le caissier
Cannot Create Return,Impossible de créer le retour
Cannot Fetch Values,Impossible de récupérer les valeurs
Cannot Modify Time,Impossible de modifier l'heure
Cannot Update After Submit,Impossible de mettre à jour après soumission
Cannot access file path {0},Impossible d'accéder au chemin de fichier {0}
Cannot cancel {0}.,Impossible d'annuler {0}.
Cannot edit Standard charts,Impossible de modifier les graphiques standards
Cannot find file {} on disk,Impossible de trouver le fichier {} sur le disque
Cannot submit {0}.,Impossible de soumettre {0}.
Cannot use sub-query here.,Impossible d'utiliser une sous-requête ici.
Cannot {0} {1}.,Impossible de {0} {1}.
Capacity (In Days),Capacité (en jours)
Capacity (Stock UOM),Capacité (UDM stock)
Capital Equipment,Équipement capital
Capitalize,Capitaliser
Capitalize Asset,Capitaliser l'actif
Capitalize Repair Cost,Capitaliser le coût de réparation
Capitalized,Capitalisé
Capture,Capturer
Card Break,Saut de carte
Card Links,Liens de carte
Cardinality,Cardinalité
Carrier Service,Service de transporteur
Categorize by Account,Catégoriser par compte
Categorize by Party,Catégoriser par tiers
Categorize by Supplier,Catégoriser par fournisseur
Categorize by Voucher,Catégoriser par pièce
Category Details,Détails de la catégorie
Centralized,Centralisé
Change Date,Changer la date
Change Image,Changer l'image
Change Letter Head,Changer l'en-tête de lettre
Change Print Format,Changer le format d'impression
Change in Stock Value,Changement de la valeur de stock
Changed at,Modifié le
Changed by,Modifié par
Changelog Feed,Flux du journal des modifications
Charge,Charger
Charge Accounts,Comptes de charges
